time,joint1_angle,joint2_angle,joint1_ref,joint2_ref,joint1_error,joint2_error,joint1_torque,joint2_torque,ee_x,ee_y,ee_distance
2.64099999999982,7.740588915734554e-06,1.4982913884492182e-10,0.0,0.0,-7.740588915734554e-06,-1.4982913884492182e-10,-0.000502692171812403,-1.110236820387919e-08,0.799999999976033,6.1925160812674555e-06,0.8
2.64199999999982,7.743681314580018e-06,1.498411127118119e-10,0.0,0.0,-7.743681314580018e-06,-1.498411127118119e-10,-0.0005029248304970966,-1.1104468164920986e-08,0.7999999999760138,6.194990003935913e-06,0.7999999999999999
2.64299999999982,7.746773841286397e-06,1.4985308718004114e-10,0.0,0.0,-7.746773841286397e-06,-1.4985308718004114e-10,-0.000503157526527805,-1.1106568275919096e-08,0.7999999999759946,6.197464028893284e-06,0.7999999999999999
2.64399999999982,7.749866495859547e-06,1.4986506224963667e-10,0.0,0.0,-7.749866495859547e-06,-1.4986506224963667e-10,-0.0005033902599061083,-1.1108668536898293e-08,0.7999999999759755,6.199938156144249e-06,0.8
2.6449999999998197,7.752959278305324e-06,1.4987703792063408e-10,0.0,0.0,-7.752959278305324e-06,-1.4987703792063408e-10,-0.0005036230306335776,-1.1110768947831949e-08,0.7999999999759563,6.2024123856934985e-06,0.7999999999999999
2.6459999999998196,7.756052188629584e-06,1.4988901419306044e-10,0.0,0.0,-7.756052188629584e-06,-1.4988901419306044e-10,-0.0005038558387117847,-1.111286950877038e-08,0.7999999999759371,6.204886717545713e-06,0.8
2.6469999999998195,7.759145226838186e-06,1.4990099106694458e-10,0.0,0.0,-7.759145226838186e-06,-1.4990099106694458e-10,-0.000504088684142301,-1.1114970219678436e-08,0.799999999975918,6.207361151705582e-06,0.8
2.6479999999998194,7.762238392936986e-06,1.4991296854232038e-10,0.0,0.0,-7.762238392936986e-06,-1.4991296854232038e-10,-0.0005043215669267071,-1.111707108057223e-08,0.7999999999758987,6.20983568817779e-06,0.7999999999999999
2.6489999999998193,7.765331686931841e-06,1.499249466192149e-10,0.0,0.0,-7.765331686931841e-06,-1.499249466192149e-10,-0.000504554487066566,-1.1119172091484672e-08,0.7999999999758796,6.212310326967024e-06,0.8
2.649999999999819,7.768425108828611e-06,1.4993692529766376e-10,0.0,0.0,-7.768425108828611e-06,-1.4993692529766376e-10,-0.0005047874445634578,-1.1121273252389271e-08,0.7999999999758602,6.214785068077968e-06,0.7999999999999999
2.650999999999819,7.771518658633153e-06,1.4994890457769236e-10,0.0,0.0,-7.771518658633153e-06,-1.4994890457769236e-10,-0.0005050204394189549,-1.1123374563336346e-08,0.799999999975841,6.217259911515311e-06,0.8
2.651999999999819,7.774612336351326e-06,1.4996088445933798e-10,0.0,0.0,-7.774612336351326e-06,-1.4996088445933798e-10,-0.000505253471634629,-1.1125476024282257e-08,0.7999999999758218,6.2197348572837404e-06,0.8
2.652999999999819,7.77770614198899e-06,1.499728649426311e-10,0.0,0.0,-7.77770614198899e-06,-1.499728649426311e-10,-0.0005054865412120607,-1.112757763529421e-08,0.7999999999758025,6.222209905387941e-06,0.7999999999999999
2.6539999999998187,7.780800075552003e-06,1.4998484602759374e-10,0.0,0.0,-7.780800075552003e-06,-1.4998484602759374e-10,-0.0005057196481528136,-1.112967939634575e-08,0.7999999999757833,6.2246850558326025e-06,0.8
